order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale
196,2022/6/25,Sandwich,Fastfood,60,3,180,Cash,Mr.,Evening
197,2022/11/8,Panipuri,Fastfood,20,10,200,Cash,Mrs.,Midnight
198,2023/1/5,Frankie,Fastfood,50,15,750,Cash,Mr.,Morning
199,2023/2/1,Frankie,Fastfood,50,6,300,Online,Mrs.,Morning
200,2022/12/25,Cold coffee,Beverages,40,10,400,Cash,Mrs.,Morning
201,2022/6/30,Panipuri,Fastfood,20,8,160,Cash,Mr.,Morning
202,2022/9/21,Aalopuri,Fastfood,20,9,180,Cash,Mr.,Afternoon
203,2022/4/11,Vadapav,Fastfood,20,6,120,Online,Mrs.,Midnight
204,2022/10/24,Cold coffee,Beverages,40,7,280,Cash,Mrs.,Evening
205,2022/10/17,Vadapav,Fastfood,20,4,80,,Mr.,Afternoon
206,2022/7/27,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Night
207,2023/2/20,Cold coffee,Beverages,40,8,320,Online,Mrs.,Evening
208,2022/8/26,Cold coffee,Beverages,40,13,520,Cash,Mrs.,Midnight
209,2022/12/4,Aalopuri,Fastfood,20,2,40,Cash,Mr.,Night
210,2023/1/2,Sugarcane juice,Beverages,25,15,375,,Mr.,Night
211,2022/4/18,Aalopuri,Fastfood,20,12,240,Cash,Mr.,Morning
212,2022/5/5,Cold coffee,Beverages,40,12,480,Online,Mrs.,Morning
213,2022/9/29,Vadapav,Fastfood,20,3,60,,Mrs.,Midnight
214,2022/12/3,Sugarcane juice,Beverages,25,14,350,Online,Mr.,Evening
215,2022/12/10,Sugarcane juice,Beverages,25,7,175,,Mrs.,Morning
216,2023/3/7,Panipuri,Fastfood,20,9,180,Cash,Mrs.,Afternoon
217,2023/3/23,Cold coffee,Beverages,40,10,400,Cash,Mr.,Morning
218,2022/12/23,Cold coffee,Beverages,40,13,520,Online,Mrs.,Midnight
219,2022/10/1,Aalopuri,Fastfood,20,9,180,Cash,Mrs.,Evening
220,2022/5/13,Sugarcane juice,Beverages,25,1,25,Cash,Mr.,Afternoon
221,2023/3/26,Sandwich,Fastfood,60,1,60,Online,Mr.,Evening
222,2022/9/11,Sandwich,Fastfood,60,6,360,Cash,Mrs.,Morning
223,2022/9/21,Panipuri,Fastfood,20,13,260,Online,Mr.,Night
224,2023/3/23,Sugarcane juice,Beverages,25,14,350,Cash,Mr.,Afternoon
225,2023/3/16,Frankie,Fastfood,50,11,550,Cash,Mrs.,Evening
226,2022/12/12,Aalopuri,Fastfood,20,13,260,Online,Mrs.,Afternoon
227,2022/11/17,Cold coffee,Beverages,40,5,200,Cash,Mrs.,Afternoon
228,2022/11/5,Panipuri,Fastfood,20,8,160,Online,Mr.,Night
229,2022/12/15,Panipuri,Fastfood,20,7,140,,Mr.,Evening
230,2022/4/16,Frankie,Fastfood,50,6,300,Online,Mr.,Afternoon
231,2022/4/16,Sugarcane juice,Beverages,25,3,75,,Mr.,Night
232,2022/4/23,Vadapav,Fastfood,20,13,260,Cash,Mrs.,Night
233,2022/7/31,Panipuri,Fastfood,20,5,100,Cash,Mr.,Morning
234,2022/7/27,Panipuri,Fastfood,20,10,200,Cash,Mr.,Midnight
235,2022/11/29,Sandwich,Fastfood,60,10,600,Cash,Mrs.,Afternoon
236,2022/6/26,Vadapav,Fastfood,20,12,240,,Mrs.,Evening
237,2022/11/8,Panipuri,Fastfood,20,13,260,Cash,Mrs.,Midnight
238,2022/4/26,Vadapav,Fastfood,20,13,260,Cash,Mr.,Morning
239,2022/12/4,Frankie,Fastfood,50,4,200,Online,Mr.,Evening
240,2022/12/11,Sandwich,Fastfood,60,10,600,Cash,Mrs.,Morning
241,2022/6/6,Sugarcane juice,Beverages,25,2,50,Cash,Mr.,Afternoon
242,2022/12/23,Cold coffee,Beverages,40,4,160,Online,Mrs.,Midnight
243,2022/11/12,Panipuri,Fastfood,20,5,100,Cash,Mrs.,Midnight
244,2022/11/22,Sandwich,Fastfood,60,10,600,Online,Mrs.,Midnight
245,2022/10/3,Vadapav,Fastfood,20,2,40,Cash,Mrs.,Morning
246,2022/11/16,Vadapav,Fastfood,20,10,200,Cash,Mr.,Afternoon
247,2022/10/3,Sugarcane juice,Beverages,25,6,150,,Mr.,Midnight
248,2022/4/17,Frankie,Fastfood,50,5,250,Online,Mrs.,Midnight
249,2022/10/26,Sugarcane juice,Beverages,25,3,75,Online,Mrs.,Afternoon
250,2022/11/15,Sugarcane juice,Beverages,25,6,150,Online,Mrs.,Midnight
251,2022/12/21,Cold coffee,Beverages,40,13,520,,Mrs.,Afternoon
252,2023/3/26,Vadapav,Fastfood,20,8,160,Online,Mr.,Midnight
253,2022/6/18,Sugarcane juice,Beverages,25,13,325,Online,Mr.,Afternoon
254,2022/10/9,Cold coffee,Beverages,40,12,480,,Mrs.,Afternoon
255,2022/4/30,Vadapav,Fastfood,20,7,140,,Mrs.,Afternoon
256,2023/3/16,Aalopuri,Fastfood,20,3,60,Online,Mrs.,Midnight
257,2023/1/3,Sandwich,Fastfood,60,10,600,Cash,Mrs.,Midnight
258,2022/9/6,Vadapav,Fastfood,20,14,280,Cash,Mr.,Midnight
259,2022/11/18,Sandwich,Fastfood,60,4,240,Online,Mr.,Morning
260,2022/9/10,Sugarcane juice,Beverages,25,2,50,Online,Mrs.,Night
261,2023/1/11,Frankie,Fastfood,50,9,450,Cash,Mrs.,Midnight
262,2023/3/5,Vadapav,Fastfood,20,5,100,,Mrs.,Evening
263,2022/6/19,Panipuri,Fastfood,20,2,40,Cash,Mr.,Evening
264,2022/7/18,Sugarcane juice,Beverages,25,12,300,Online,Mr.,Morning
265,2022/8/15,Vadapav,Fastfood,20,6,120,Cash,Mr.,Midnight
266,2022/10/2,Frankie,Fastfood,50,10,500,Online,Mrs.,Night
267,2023/3/5,Vadapav,Fastfood,20,1,20,Cash,Mr.,Morning
268,2023/2/5,Cold coffee,Beverages,40,12,480,Cash,Mrs.,Midnight
269,2022/12/22,Panipuri,Fastfood,20,2,40,,Mrs.,Midnight
270,2022/9/7,Sandwich,Fastfood,60,13,780,Cash,Mr.,Evening
271,2022/5/3,Vadapav,Fastfood,20,13,260,Cash,Mr.,Evening
272,2022/7/29,Frankie,Fastfood,50,5,250,Online,Mrs.,Night
273,2022/8/15,Panipuri,Fastfood,20,15,300,Cash,Mr.,Midnight
274,2023/1/4,Sugarcane juice,Beverages,25,10,250,Online,Mr.,Night
275,2023/2/4,Vadapav,Fastfood,20,15,300,Online,Mr.,Night
276,2022/9/30,Sugarcane juice,Beverages,25,6,150,Cash,Mr.,Midnight
277,2022/12/8,Cold coffee,Beverages,40,13,520,Cash,Mrs.,Midnight
278,2022/6/19,Frankie,Fastfood,50,6,300,Online,Mrs.,Night
279,2022/9/14,Vadapav,Fastfood,20,15,300,Cash,Mrs.,Afternoon
280,2022/10/9,Panipuri,Fastfood,20,14,280,Online,Mrs.,Evening
281,2022/8/9,Sandwich,Fastfood,60,3,180,Cash,Mrs.,Afternoon
282,2022/5/16,Vadapav,Fastfood,20,13,260,,Mrs.,Morning
283,2022/7/2,Panipuri,Fastfood,20,2,40,Cash,Mrs.,Midnight
284,2023/1/29,Frankie,Fastfood,50,7,350,,Mr.,Afternoon
285,2022/6/28,Aalopuri,Fastfood,20,3,60,,Mr.,Night
286,2022/12/14,Vadapav,Fastfood,20,6,120,,Mr.,Night
287,2022/8/6,Aalopuri,Fastfood,20,3,60,Cash,Mr.,Morning
288,2022/8/22,Sandwich,Fastfood,60,7,420,Cash,Mr.,Night
289,2022/11/28,Aalopuri,Fastfood,20,7,140,Online,Mrs.,Midnight
290,2022/5/3,Panipuri,Fastfood,20,7,140,Cash,Mrs.,Morning
291,2023/1/27,Frankie,Fastfood,50,8,400,Online,Mrs.,Night
292,2023/1/16,Frankie,Fastfood,50,2,100,Cash,Mrs.,Midnight
293,2022/4/21,Panipuri,Fastfood,20,8,160,Online,Mrs.,Morning
294,2022/9/23,Aalopuri,Fastfood,20,1,20,Cash,Mrs.,Evening
295,2022/7/21,Sandwich,Fastfood,60,7,420,Cash,Mr.,Midnight
296,2023/2/6,Panipuri,Fastfood,20,7,140,Cash,Mrs.,Afternoon
297,2022/4/30,Sandwich,Fastfood,60,10,600,Online,Mr.,Evening
298,2022/7/19,Sugarcane juice,Beverages,25,9,225,Cash,Mrs.,Afternoon
299,2022/7/22,Aalopuri,Fastfood,20,1,20,Online,Mrs.,Evening
300,2022/6/27,Aalopuri,Fastfood,20,8,160,Cash,Mr.,Afternoon
301,2023/1/28,Panipuri,Fastfood,20,7,140,Cash,Mr.,Night
302,2023/3/21,Aalopuri,Fastfood,20,14,280,Cash,Mr.,Night
303,2022/7/2,Sugarcane juice,Beverages,25,1,25,Cash,Mrs.,Midnight
304,2022/5/28,Vadapav,Fastfood,20,15,300,Online,Mr.,Morning
305,2023/3/5,Panipuri,Fastfood,20,4,80,,Mrs.,Morning
306,2023/3/3,Cold coffee,Beverages,40,8,320,Online,Mrs.,Morning
307,2023/2/13,Vadapav,Fastfood,20,8,160,Cash,Mr.,Evening
308,2022/12/17,Sandwich,Fastfood,60,13,780,Online,Mr.,Evening
309,2022/10/14,Sandwich,Fastfood,60,8,480,Online,Mr.,Evening
310,2022/4/25,Vadapav,Fastfood,20,4,80,Cash,Mr.,Afternoon
311,2022/7/31,Frankie,Fastfood,50,7,350,,Mrs.,Morning
312,2022/12/28,Cold coffee,Beverages,40,1,40,Cash,Mrs.,Night
313,2022/4/19,Cold coffee,Beverages,40,1,40,Cash,Mr.,Midnight
314,2023/2/27,Frankie,Fastfood,50,8,400,Online,Mrs.,Morning
315,2023/2/20,Cold coffee,Beverages,40,13,520,Online,Mrs.,Afternoon
316,2022/11/2,Frankie,Fastfood,50,4,200,Online,Mr.,Morning
317,2023/3/10,Aalopuri,Fastfood,20,12,240,Online,Mrs.,Afternoon
318,2022/12/21,Aalopuri,Fastfood,20,10,200,Online,Mrs.,Midnight
319,2022/6/30,Frankie,Fastfood,50,15,750,Cash,Mr.,Afternoon
320,2023/3/18,Sugarcane juice,Beverages,25,7,175,Cash,Mrs.,Afternoon
321,2023/2/8,Frankie,Fastfood,50,12,600,Cash,Mrs.,Evening
322,2022/5/5,Cold coffee,Beverages,40,11,440,Cash,Mr.,Morning
323,2022/12/29,Aalopuri,Fastfood,20,4,80,Cash,Mr.,Morning
324,2022/7/18,Sugarcane juice,Beverages,25,15,375,Online,Mrs.,Night
325,2023/3/2,Aalopuri,Fastfood,20,12,240,,Mrs.,Afternoon
326,2022/5/3,Sandwich,Fastfood,60,8,480,Cash,Mr.,Evening
327,2022/11/29,Frankie,Fastfood,50,15,750,Cash,Mrs.,Midnight
328,2022/6/16,Vadapav,Fastfood,20,3,60,Online,Mr.,Evening
329,2023/1/10,Panipuri,Fastfood,20,7,140,Online,Mrs.,Afternoon
330,2022/9/22,Panipuri,Fastfood,20,8,160,,Mr.,Morning
331,2022/8/21,Panipuri,Fastfood,20,4,80,Online,Mrs.,Evening
332,2023/2/17,Aalopuri,Fastfood,20,2,40,,Mrs.,Afternoon
333,2022/10/30,Sugarcane juice,Beverages,25,11,275,Cash,Mrs.,Afternoon
334,2022/4/4,Cold coffee,Beverages,40,4,160,Cash,Mrs.,Evening
335,2022/10/24,Cold coffee,Beverages,40,11,440,Cash,Mr.,Night
336,2022/9/3,Sugarcane juice,Beverages,25,13,325,,Mrs.,Midnight
337,2022/10/15,Aalopuri,Fastfood,20,14,280,Online,Mrs.,Midnight
338,2022/5/6,Sugarcane juice,Beverages,25,12,300,Cash,Mr.,Morning
339,2023/2/16,Sugarcane juice,Beverages,25,1,25,,Mrs.,Midnight
340,2022/6/2,Cold coffee,Beverages,40,4,160,Cash,Mrs.,Evening
341,2023/3/19,Frankie,Fastfood,50,9,450,Cash,Mrs.,Evening
342,2023/3/11,Vadapav,Fastfood,20,7,140,Online,Mr.,Afternoon
343,2023/1/18,Sugarcane juice,Beverages,25,5,125,Cash,Mr.,Afternoon
344,2022/5/13,Cold coffee,Beverages,40,14,560,Cash,Mr.,Night
